GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
receiver,com.main,ObjectCreateService,77,20,2,0,15,4,3,2,2,2
receiver,com.main,BreachLevel,123,19,6,4,20,7,7,3,2,3
receiver,com.main,JsonUtility,7,35,0,2,2,11,1,3,1,2
receiver,com.main,NotifyWhenBreach,6,0,0,0,2,0,2,0,2,0
receiver,com.main,EnvironmentAttribute,87,0,0,0,17,0,9,0,9,0
receiver,com.main,Application,61,0,2,0,18,0,3,0,2,0
receiver,com.main,PropertyFileHandler,77,0,2,0,20,0,4,0,3,0
receiver,com.main,NotifyWhenBreachBySMS,15,0,0,0,3,0,2,0,2,0
