GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sender,com.philips,Utils,10,6,0,0,4,3,1,1,1,1
sender,com.philips,RecordHandler,7,81,0,8,2,18,1,7,1,3
sender,com.philips,Application,23,31,0,0,8,9,2,2,2,2
sender,com.philips,JSONFormatter,0,35,0,2,0,7,0,3,0,2
sender,com.philips,ReadCSV,0,24,0,0,0,8,0,2,0,2
